"Assessment Year From","Assessment Year To","County","Net Taxable Assessed Value","City Property Tax Allocations and Levies","CountyPropertyTaxAllocationsandLevies","School Property Tax Allocations and Levies","Other Districts Property Tax Allocations and Levies","Total Property Tax Allocations and Levies","Average Tax Rate (%)","City Property Tax Dollars (% of total)","County Property Tax Dollars (% of total)","School Property Tax Dollars (% of total)","Other District Tax Dollars (% of total)","Total Property Tax Dollars (% of total)"
"2024","2025","Alameda","424031674000","915657000","716893000","2256407000","1283182000","5172139000","1.22","18","14","44","25","100"
"2024","2025","Alpine","965068000","","6110000","2824000","1009000","9943000","1.03","","61","28","10","100"
"2024","2025","Amador","7173427000","3599000","22814000","44802000","1442000","72657000","1.013","5","31","62","2","100"
"2024","2025","Butte","29800591000","13640000","30318000","198836000","89106000","331900000","1.114","4","9","60","27","100"
"2024","2025","Calaveras","10324292000","764000","20469000","75754000","13958000","110945000","1.075","1","18","68","13","100"
"2024","2025","Colusa","5398060000","2926000","15431000","36510000","4284000","59151000","1.096","5","26","62","7","100"
"2024","2025","Contra Costa","282611467000","252933000","365264000","1689887000","944499000","3252583000","1.151","8","11","52","29","100"
"2024","2025","Del Norte","2699073000","197000","4998000","18364000","4423000","27982000","1.037","1","18","66","16","100"
"2024","2025","El Dorado","45774127000","11902000","105967000","244750000","121681000","484301000","1.058","2","22","51","25","100"
"2024","2025","Fresno","115879442000","150841000","160958000","923787000","169522000","1405108000","1.213","11","11","66","12","100"
"2024","2025","Glenn","4436831000","2453000","9449000","34978000","1937000","48818000","1.1","5","19","72","4","100"
"2024","2025","Humboldt","18201430000","4469000","36535000","129035000","28920000","198959000","1.093","2","18","65","15","100"
"2024","2025","Imperial","16193798000","12040000","26796000","111563000","39245000","189644000","1.171","6","14","59","21","100"
"2024","2025","Inyo","6261138000","779000","18758000","39821000","6378000","65736000","1.05","1","29","61","10","100"
"2024","2025","Kern","118062991000","79658000","336378000","859653000","197739000","1473429000","1.248","5","23","58","13","100"
