county_name,tot_levies,tot_assess_val_mo,avg_prop_tax_rate,avg_prop_tax_pct,avg_eff_prop_tax_rate,avg_eff_prop_tax_pct
Appling,3.7753404e+07,1.5398134e+09,0.02451817,2.451817,0.009658672,0.96586716
Atkinson,7.244416e+06,2.4613928e+08,0.029432181,2.9432182,0.011594496,1.1594496
Bacon,1.0762274e+07,4.069825e+08,0.02644407,2.644407,0.010417361,1.0417361
Baker,4.127923e+06,1.4614e+08,0.02824636,2.824636,0.011127354,1.1127354
Baldwin,4.182859e+07,1.6410455e+09,0.02548899,2.548899,0.010041117,1.0041116
Banks,2.352894e+07,1.2157381e+09,0.019353626,1.9353626,0.007624155,0.76241547
Barrow,1.1148768e+08,4.6250875e+09,0.024104988,2.4104989,0.009495905,0.94959044
Bartow,1.9902069e+08,8.338725e+09,0.02386704,2.386704,0.009402167,0.9402167
Ben Hill,1.7669536e+07,5.0418128e+08,0.035045996,3.5045996,0.0138059985,1.3805999
Berrien,8.191124e+06,3.9202154e+08,0.020894576,2.0894575,0.008231197,0.82311964
Bibb,2.1325163e+08,6.2393974e+09,0.034178242,3.4178243,0.013464154,1.3464154
Bleckley,1.1467208e+07,3.801321e+08,0.030166376,3.0166376,0.011883724,1.1883724
Brantley,1.3999236e+07,4.6561213e+08,0.030066304,3.0066304,0.011844301,1.1844301
Brooks,1.7552462e+07,6.2360736e+08,0.028146656,2.8146656,0.011088076,1.1088076
Bryan,7.8560616e+07,3.1951158e+09,0.02458772,2.4587722,0.009686071,0.9686071
Bulloch,9.828397e+07,3.846111e+09,0.025554117,2.5554116,0.010066773,1.0066773
Burke,1.5972602e+08,9.916584e+09,0.01610696,1.610696,0.0063451654,0.63451654
Butts,3.644098e+07,1.5996553e+09,0.02278052,2.278052,0.008974143,0.8974143
Calhoun,5.594195e+06,1.4597246e+08,0.038323633,3.8323634,0.015097188,1.5097188
Camden,7.73524e+07,2.436078e+09,0.03175284,3.175284,0.012508694,1.2508694
Candler,1.2010974e+07,3.7211418e+08,0.03227766,3.2277658,0.01271544,1.271544
Carroll,1.535617e+08,5.417975e+09,0.028343007,2.8343008,0.011165426,1.1165426
Catoosa,6.4949016e+07,3.5026693e+09,0.01854272,1.854272,0.007304707,0.7304707
Charlton,1.1621013e+07,4.2953955e+08,0.027054582,2.7054582,0.010657866,1.0657866
Chatham,8.562901e+08,2.2466867e+10,0.038113464,3.8113463,0.015014394,1.5014395
Chattahoochee,1.696554e+06,6.5854476e+07,0.025762167,2.5762167,0.010148732,1.0148731
Chattooga,1.4813867e+07,7.8178464e+08,0.018948782,1.8948783,0.007464671,0.7464671
Cherokee,5.0558803e+08,1.8278226e+10,0.027660673,2.7660673,0.010896629,1.0896629
Clarke,2.4903784e+08,8.060892e+09,0.030894576,3.0894575,0.01217059,1.217059
Clay,4.288598e+06,1.1917712e+08,0.03598508,3.598508,0.01417594,1.4175941
Clayton,5.2672326e+08,1.3748519e+10,0.038311273,3.8311272,0.01509232,1.5092319
Clinch,9.824947e+06,2.9530464e+08,0.03327055,3.327055,0.013106578,1.3106579
Cobb,1.5914559e+09,4.7426896e+10,0.033555977,3.3555977,0.01321902,1.321902
Coffee,2.8211178e+07,1.111724e+09,0.025376063,2.5376062,0.00999663,0.999663
Colquitt,3.3596696e+07,1.4460511e+09,0.023233408,2.323341,0.009152555,0.9152555
Columbia,2.1352112e+08,9.446921e+09,0.022602191,2.260219,0.008903894,0.8903894
Cook,1.4996544e+07,5.4252595e+08,0.027642077,2.7642076,0.010889303,1.0889302
Coweta,2.4325422e+08,1.0432697e+10,0.023316523,2.3316524,0.009185296,0.91852957
Crawford,1.1367374e+07,3.7593434e+08,0.030237658,3.0237658,0.011911804,1.1911803
Crisp,2.580928e+07,8.7626266e+08,0.029453818,2.9453819,0.011603018,1.1603018
Dade,1.4241917e+07,6.791124e+08,0.020971369,2.097137,0.008261448,0.82614475
Dawson,4.7812604e+07,3.0491313e+09,0.01568073,1.568073,0.0061772573,0.61772573
Decatur,3.58717e+07,1.1640581e+09,0.030816073,3.0816073,0.012139665,1.2139665
DeKalb,2.0905427e+09,4.4632273e+10,0.046839263,4.683926,0.01845183,1.845183
Dodge,1.5486665e+07,5.670476e+08,0.02731105,2.7311049,0.010758897,1.0758897
Dooly,1.5947608e+07,4.192632e+08,0.038037222,3.8037221,0.014984361,1.4984361
Dougherty,1.0219545e+08,2.0596168e+09,0.049618673,4.9618673,0.019546747,1.9546747
Douglas,2.7184e+08,7.716806e+09,0.03522701,3.5227008,0.013877306,1.3877306
Early,1.741318e+07,5.871436e+08,0.029657446,2.9657445,0.011683237,1.1683236
Echols,4.522911e+06,1.2044428e+08,0.037551895,3.7551894,0.014793172,1.4793172
Effingham,1.232728e+08,4.1643538e+09,0.029601904,2.9601903,0.011661356,1.1661357
Elbert,2.1306842e+07,9.096826e+08,0.02342228,2.342228,0.009226958,0.9226958
Emanuel,2.134797e+07,7.067806e+08,0.030204521,3.0204523,0.0118987495,1.189875
Evans,8.766473e+06,3.7109974e+08,0.023622956,2.3622956,0.009306012,0.9306012
Fannin,3.2320104e+07,3.3079063e+09,0.009770562,0.9770562,0.003849009,0.3849009
Fayette,2.693781e+08,1.0513632e+10,0.025621794,2.5621793,0.010093433,1.0093433
Floyd,1.5270846e+08,4.6745487e+09,0.032668065,3.2668066,0.012869237,1.2869236
Forsyth,5.7036525e+08,2.1393076e+10,0.026661208,2.6661208,0.010502899,1.0502899
Franklin,3.1133958e+07,1.2899935e+09,0.024134973,2.4134972,0.009507717,0.9507717
Fulton,3.6188918e+09,9.468182e+10,0.038221613,3.8221612,0.015056998,1.5056998
