county_name,tot_levy
Appling,37753403
Atkinson,7244416
Bacon,10762274
Baker,4127923
Baldwin,41828592
Banks,23528939
Barrow,111487676
Bartow,199020694
Ben Hill,17669537
Berrien,8191124
Bibb,213251632
Bleckley,11467208
Brantley,13999236
Brooks,17552462
Bryan,78560613
Bulloch,98283970
Burke,159726012
Butts,36440979
Calhoun,5594195
Camden,77352397
Candler,12010974
Carroll,153561701
Catoosa,64949015
Charlton,11621013
Chatham,856290101
Chattahoochee,1696554
Chattooga,14813867
Cherokee,505588025
Clarke,249037846
Clay,4288598
Clayton,526723278
Clinch,9824947
Cobb,1591455862
Coffee,28211178
Colquitt,33596694
Columbia,213521115
Cook,14996544
Coweta,243254229
Crawford,11367374
Crisp,25809279
Dade,14241917
Dawson,47812603
Decatur,35871700
DeKalb,2090542665
Dodge,15486665
Dooly,15947608
Dougherty,102195447
Douglas,271839990
Early,17413180
Echols,4522911
Effingham,123272799
Elbert,21306842
Emanuel,21347970
Evans,8766473
Fannin,32320104
Fayette,269378108
Floyd,152708464
Forsyth,570365230
Franklin,31133958
Fulton,3618891648
Gilmer,41538390
Glascock,2945460
Glynn,183407697
Gordon,71980490
Grady,23092963
Greene,53074409
Gwinnett,2196548325
Habersham,58332879
Hall,375975845
Hancock,14553849
Haralson,36068657
Harris,55178573
Hart,27809362
Heard,13136094
Henry,533811044
Houston,192665555
Irwin,10986525
Jackson,179778553
Jasper,21414040
Jeff Davis,15129489
Jefferson,22428180
Jenkins,8532897
Johnson,6106167
Jones,32005329
Lamar,22243843
Lanier,7981461
Laurens,48107688
Lee,41225735
Liberty,95308967
Lincoln,11367487
Long,18135423
Lowndes,134195182
Lumpkin,40106637
Macon,15028919
Madison,35960090
Marion,5616820
McDuffie,21759275
McIntosh,20815129
Meriwether,28048390
Miller,9879373
Mitchell,26707464
Monroe,49504724
Montgomery,6500770
Morgan,40166739
Murray,30176092
Muscogee,325315816
Newton,164271996
Oconee,70031564
Oglethorpe,17299234
Paulding,230396129
Peach,37888284
Pickens,50459850
Pierce,18430161
Pike,25665848
Polk,45734284
Pulaski,9383146
Putnam,48223720
Quitman,3013007
Rabun,43910110
Randolph,10126770
Richmond,212555767
Rockdale,218545509
Schley,4177039
Screven,14621886
Seminole,13952036
Spalding,101023482
Stephens,28607059
Stewart,6239050
Sumter,29426292
Talbot,9722160
Taliaferro,3382063
Tattnall,18300885
Taylor,8560293
Telfair,11324909
Terrell,10971156
Thomas,51425930
Tift,41322417
Toombs,25201585
Towns,14163519
Treutlen,6069426
Troup,115054073
Turner,8247223
Twiggs,11330945
Union,30918611
Upson,28871893
Walker,53490969
Walton,167616527
Ware,33283153
Warren,7727508
Washington,24841068
Wayne,29599145
Webster,2865194
Wheeler,5256282
White,35569612
Whitfield,125612096
Wilcox,7124165
Wilkes,13656984
Wilkinson,16415399
Worth,18544442
