county_name,avg_urb_prop_tax_pct,avg_rur_prop_tax_pct,avg_all_prop_tax_pct
Ada,0.652,0.560,0.642
Adams,0.571,0.328,0.353
Bannock,0.973,0.429,0.847
Bear Lake,0.485,0.296,0.337
Benewah,0.846,0.545,0.601
Bingham,0.978,0.525,0.660
Blaine,0.325,0.248,0.299
Boise,0.531,0.341,0.362
Bonner,0.616,0.350,0.398
Bonneville,0.857,0.393,0.702
Boundary,0.565,0.373,0.405
Butte,1.102,0.721,0.810
Camas,0.925,0.423,0.490
Canyon,0.692,0.440,0.612
Caribou,0.940,0.438,0.520
Cassia,0.673,0.412,0.501
Clark,0.734,0.528,0.562
Clearwater,1.185,0.662,0.810
Custer,0.515,0.350,0.385
Elmore,0.904,0.379,0.607
Franklin,0.649,0.453,0.543
Fremont,0.540,0.348,0.382
Gem,0.544,0.283,0.356
Gooding,0.820,0.476,0.561
Idaho,0.650,0.306,0.374
Jefferson,0.706,0.315,0.381
Jerome,1.314,0.784,1.000
Kootenai,0.541,0.341,0.452
Latah,1.099,0.779,0.978
Lemhi,0.710,0.417,0.491
Lewis,1.315,0.836,1.010
Lincoln,0.914,0.484,0.568
Madison,0.923,0.709,0.844
Minidoka,0.765,0.470,0.582
Nez Perce,1.400,0.802,1.210
Oneida,1.004,0.516,0.663
Owyhee,0.714,0.550,0.584
Payette,0.753,0.378,0.559
Power,1.484,0.949,1.042
Shoshone,0.842,0.544,0.673
Teton,0.410,0.333,0.355
Twin Falls,1.059,0.661,0.912
Valley,0.470,0.245,0.320
Washington,1.092,0.622,0.766
