county_name,avg_urb_prop_tax_pct,avg_rur_prop_tax_pct,avg_eff_prop_tax_rate_2025,avg_eff_prop_tax_pct_2025
Ada,0.652,0.56,0.00642,0.642
Adams,0.571,0.328,0.0035299999,0.353
Bannock,0.973,0.429,0.00847,0.847
Bear Lake,0.485,0.296,0.00337,0.337
Benewah,0.846,0.545,0.00601,0.601
Bingham,0.978,0.525,0.0066000004,0.66
Blaine,0.325,0.248,0.00299,0.299
Boise,0.531,0.341,0.0036199999,0.362
Bonner,0.616,0.35,0.00398,0.398
Bonneville,0.857,0.393,0.0070200004,0.702
Boundary,0.565,0.373,0.00405,0.405
Butte,1.102,0.721,0.0081,0.81
Camas,0.925,0.423,0.0049,0.49
Canyon,0.692,0.44,0.00612,0.612
Caribou,0.94,0.438,0.0052,0.52
Cassia,0.673,0.412,0.00501,0.501
Clark,0.734,0.528,0.00562,0.562
Clearwater,1.185,0.662,0.0081,0.81
Custer,0.515,0.35,0.00385,0.385
Elmore,0.904,0.379,0.00607,0.607
Franklin,0.649,0.453,0.00543,0.543
Fremont,0.54,0.348,0.00382,0.382
Gem,0.544,0.283,0.00356,0.356
Gooding,0.82,0.476,0.00561,0.561
Idaho,0.65,0.306,0.00374,0.374
Jefferson,0.706,0.315,0.0038100001,0.381
Jerome,1.314,0.784,0.01,1.0
Kootenai,0.541,0.341,0.00452,0.452
Latah,1.099,0.779,0.00978,0.978
Lemhi,0.71,0.417,0.00491,0.491
Lewis,1.315,0.836,0.0101,1.01
Lincoln,0.914,0.484,0.0056800004,0.568
Madison,0.923,0.709,0.00844,0.844
Minidoka,0.765,0.47,0.00582,0.582
Nez Perce,1.4,0.802,0.0121,1.21
Oneida,1.004,0.516,0.0066299997,0.663
Owyhee,0.714,0.55,0.0058399998,0.584
Payette,0.753,0.378,0.00559,0.559
Power,1.484,0.949,0.01042,1.042
Shoshone,0.842,0.544,0.0067299996,0.673
Teton,0.41,0.333,0.0035499998,0.355
Twin Falls,1.059,0.661,0.00912,0.912
Valley,0.47,0.245,0.0032,0.32
Washington,1.092,0.622,0.0076599997,0.766
