county_name,avg_eff_prop_tax_rate_2025,avg_eff_prop_tax_pct_2025
Carson City,0.0046,0.45999999999999996
Churchill,0.0052,0.52
Clark,0.0052,0.52
Douglas,0.0045,0.44999999999999996
Elko,0.0056,0.5599999999999999
Esmeralda,0.0052,0.52
Eureka,0.0034,0.33999999999999997
Humboldt,0.0056,0.5599999999999999
Lander,0.0073,0.73
Lincoln,0.0054,0.54
Lyon,0.005,0.5
Mineral,0.0073,0.73
Nye,0.0051,0.51
Pershing,0.0068,0.6799999999999999
Storey,0.0042,0.42
Washoe,0.0046,0.45999999999999996
White Pine,0.0055,0.5499999999999999
