Final adopted property tax rates by county and tax area,,
"Taken from Utah State Tax Commission, Property Tax Division, ""2025 Tax Rates by Tax Area""",,
https://files.tax.utah.gov/propertytax/tax-rates/area-rates/taxarearates2025.pdf,,
,,
cnty_name,area_num,rate_final
Beaver,001-0000,0.007335
Beaver,001-0005,0.007335
Beaver,002-0000,0.008404
Beaver,002-0001,0.008404
Beaver,002-0002,0.008404
Beaver,002-0003,0.008404
Beaver,002-0004,0.008404
Beaver,002-0006,0.008404
Beaver,002-0007,0.008404
Beaver,002-0008,0.008404
Beaver,002-0009,0.008404
Beaver,002-9501,0.008404
Beaver,002-9506,0.008404
Beaver,003-0000,0.007505
Beaver,003-9505,0.007505
Beaver,003-9900,0.007505
Beaver,004-0000,0.009067
Beaver,005-0000,0.009524
Beaver,005-9500,0.009524
Beaver,006-9504,0.007335
Beaver,007-0000,0.007346
Box Elder,101-0000,0.00927
Box Elder,101-9504,0.00927
Box Elder,102-0000,0.009463
Box Elder,103-0000,0.010573
Box Elder,103-9503,0.010573
Box Elder,103-9900,0.010573
Box Elder,104-0000,0.010491
Box Elder,104-9055,0.010491
Box Elder,105-0000,0.009381
Box Elder,106-0000,0.009692
Box Elder,107-0000,0.009354
Box Elder,108-0000,0.009659
Box Elder,111-0000,0.009497
Box Elder,112-0000,0.009443
Box Elder,113-0000,0.011702
Box Elder,113-9500,0.011702
Box Elder,114-0000,0.009364
Box Elder,116-0000,0.009589
Box Elder,118-0000,0.009561
Box Elder,119-0000,0.01086
Box Elder,121-0000,0.009434
Box Elder,122-0000,0.010785
Box Elder,123-0000,0.009188
Box Elder,124-0000,0.009362
Box Elder,125-0000,0.009996
Box Elder,126-0000,0.009632
Box Elder,127-0000,0.009626
Box Elder,128-0000,0.00927
Box Elder,129-0000,0.00969
Box Elder,130-0000,0.011685
Box Elder,131-0000,0.009461
Box Elder,132-0000,0.010488
Box Elder,133-0000,0.009365
Box Elder,134-0000,0.010679
Box Elder,135-0000,0.009707
Box Elder,136-0000,0.009852
Box Elder,139-0000,0.010605
Box Elder,140-0000,0.010448
Box Elder,141-0000,0.010448
Box Elder,143-0000,0.009781
Box Elder,146-0000,0.009427
Box Elder,147-0000,0.009516
Box Elder,151-0000,0.011779
Box Elder,151-0001,0.011779
Box Elder,151-9501,0.011779
Box Elder,152-0000,0.009556
Box Elder,156-0000,0.011608
Box Elder,157-0000,0.010931
Box Elder,158-0000,0.009416
Box Elder,159-0000,0.009511
Box Elder,162-0000,0.011026
Box Elder,163-0000,0.010719
Box Elder,169-0000,0.010491
Box Elder,171-0000,0.010573
Box Elder,175-0000,0.010573
Box Elder,176-0000,0.010573
Box Elder,177-0000,0.009516
Box Elder,178-0000,0.010785
Box Elder,179-0000,0.00927
Box Elder,180-0000,0.009692
Box Elder,182-0000,0.009431
Box Elder,184-0000,0.00927
Box Elder,186-0000,0.009381
Box Elder,187-0000,0.00927
Box Elder,187-9502,0.00927
Box Elder,188-0000,0.010931
Box Elder,189-0000,0.010573
Box Elder,190-0000,0.009362
Box Elder,191-0000,0.010573
Box Elder,192-0000,0.009632
Box Elder,193-0000,0.010573
Box Elder,199-0000,0.00927
Box Elder,200-0000,0.011685
Box Elder,201-0000,0.00927
Box Elder,202-9505,0.010573
Box Elder,202-9506,0.010573
Box Elder,202-9507,0.010573
Box Elder,202-9508,0.010573
Box Elder,203-0000,0.009516
Cache,001-0000,0.006166
Cache,002-0000,0.006625
Cache,003-0000,0.006965
Cache,004-0000,0.006919
Cache,005-0000,0.007558
Cache,006-0000,0.006164
Cache,007-0000,0.006684
Cache,008-0000,0.007544
Cache,009-0000,0.007133
Cache,010-0000,0.006547
Cache,011-0000,0.007144
Cache,012-0000,0.006258
Cache,014-0000,0.007253
Cache,015-0000,0.00747
Cache,016-0000,0.006537
Cache,017-0000,0.006248
Cache,018-0000,0.007323
Cache,019-0000,0.007735
Cache,020-0000,0.007865
Cache,021-0000,0.006554
Cache,022-0000,0.007851
Cache,023-0000,0.0065
Cache,024-0000,0.007418
Cache,025-0000,0.006221
Cache,026-0000,0.006855
Cache,027-0000,0.007732
Cache,027-9900,0.007732
Cache,028-0000,0.006118
Cache,031-0000,0.006228
Cache,032-0000,0.006443
Cache,033-0000,0.006638
Cache,036-0000,0.007113
Cache,037-0000,0.007179
Cache,106-0000,0.006253
Cache,128-0000,0.006207
Cache,228-0000,0.006118
Cache,279-0000,0.007732
Cache,280-0000,0.007732
Cache,301-0000,0.007732
Cache,302-0000,0.006993
Cache,333-0000,0.007732
Cache,811-0000,0.007144
Cache,912-0000,0.007144
Cache,927-0000,0.007883
Cache,928-0000,0.006993
Carbon,001-0000,0.012149
Carbon,001-9900,0.012149
Carbon,002-0000,0.012778
Carbon,003-0000,0.013859
Carbon,006-0000,0.011314
Carbon,007-0000,0.018949
Carbon,008-0000,0.012915
Carbon,008-9500,0.012915
Carbon,008-9900,0.012915
Carbon,008-9902,0.012915
Carbon,009-0000,0.012255
Carbon,009-9503,0.012255
Carbon,011-0000,0.012915
Carbon,011-9501,0.012915
Carbon,012-0000,0.012255
Carbon,091-0000,0.012149
Carbon,092-0000,0.012915
Carbon,093-0000,0.013859
Carbon,093-9502,0.013859
Carbon,094-0000,0.012915
Carbon,095-0000,0.012915
Carbon,096-0000,0.012255
Carbon,097-0000,0.012915
Carbon,098-0000,0.012149
Carbon,099-0000,0.012915
Carbon,099-0001,0.012915
Carbon,099-0002,0.012255
Daggett,001-0000,0.007118
Daggett,002-0000,0.007515
Daggett,003-0000,0.008226
Daggett,004-0000,0.007306
Daggett,005-0000,0.007832
Daggett,006-0000,0.008226
Daggett,007-0000,0.008787
Daggett,099-0000,0.007327
Davis,001-0000,0.010043
Davis,003-0000,0.010102
Davis,004-0000,0.010222
Davis,005-0000,0.010163
Davis,008-0000,0.010454
Davis,009-0000,0.010513
Davis,010-0000,0.010454
Davis,011-0000,0.010403
Davis,012-0000,0.010109
Davis,013-0000,0.011159
Davis,014-0000,0.011159
Davis,016-0000,0.01008
Davis,017-0000,0.0104
Davis,018-0000,0.010594
Davis,023-0000,0.00983
Davis,024-0000,0.010124
Davis,027-0000,0.010101
Davis,028-0000,0.009887
Davis,029-0000,0.010181
Davis,033-0000,0.009839
Davis,034-0000,0.009625
Davis,035-0000,0.009919
Davis,036-0000,0.009839
Davis,039-0000,0.009527
Davis,040-0000,0.009527
Davis,041-0000,0.009313
Davis,044-0000,0.010109
Davis,045-0000,0.010229
Davis,046-0000,0.010038
Davis,047-0000,0.010038
Davis,048-0000,0.009498
Davis,050-0000,0.009498
Davis,051-0000,0.010963
Davis,053-0000,0.010045
Davis,054-0000,0.010365
Davis,054-8155,0.010365
Davis,057-0000,0.010622
Davis,058-0000,0.010681
Davis,063-0000,0.010671
Davis,064-0000,0.010865
Davis,065-0000,0.010351
Davis,066-0000,0.010545
Davis,070-0000,0.010646
Davis,071-0000,0.010705
Davis,072-0000,0.010825
Davis,073-0000,0.010766
Davis,077-0000,0.008787
Davis,078-0000,0.00967
Davis,079-0000,0.009254
Davis,080-0000,0.008875
Davis,081-0000,0.009001
Davis,082-0000,0.009001
Davis,083-0000,0.009325
Davis,084-0000,0.009871
Davis,085-0000,0.009191
Davis,086-0000,0.009333
Davis,087-0000,0.009991
Davis,088-0000,0.008681
Davis,089-0000,0.00942
Davis,090-0000,0.009081
Davis,091-0000,0.00778
Davis,092-0000,0.009221
Davis,094-0000,0.008716
Davis,095-0000,0.009219
Davis,096-0000,0.009729
Davis,098-0000,0.008882
Davis,099-0000,0.009132
Davis,100-0000,0.010558
Davis,1013-0000,0.011159
Davis,1070-0000,0.010646
Davis,108-0000,0.010454
Davis,1213-0000,0.011159
Davis,124-0000,0.010124
Davis,1313-0000,0.011159
Davis,134-0000,0.009625
Davis,139-0000,0.009527
Davis,1413-0000,0.011159
Davis,144-0000,0.010109
Davis,154-0000,0.010365
Davis,157-0000,0.010622
Davis,163-0000,0.010671
Davis,181-0000,0.009001
Davis,184-0000,0.009871
Davis,188-0000,0.008681
Davis,208-0000,0.010454
Davis,223-0000,0.00983
Davis,234-0000,0.009625
Davis,244-0000,0.010109
Davis,254-0000,0.010365
Davis,270-0000,0.010646
Davis,284-0000,0.009871
Davis,344-0000,0.010109
Davis,345-0000,0.010229
Davis,354-0000,0.010365
Davis,370-0000,0.010646
Davis,454-0000,0.010365
Davis,470-0000,0.010646
Davis,471-0000,0.010705
Davis,472-0000,0.010825
Davis,473-0000,0.010766
Davis,503-0000,0.010102
Davis,505-0000,0.010163
Davis,508-0000,0.010454
Davis,523-0000,0.00983
Davis,524-0000,0.010124
Davis,539-0000,0.009527
Davis,554-0000,0.010365
Davis,554-5000,0.010365
Davis,557-0000,0.010622
Davis,573-0000,0.010766
Davis,584-0000,0.009871
Davis,608-0000,0.010454
Davis,613-0000,0.011159
Davis,623-0000,0.00983
Davis,624-0000,0.010124
Davis,639-0000,0.009527
Davis,658-0000,0.010681
Davis,713-0000,0.011159
Davis,724-9400,0.010124
Davis,724-9401,0.00983
Davis,744-0000,0.010109
Davis,745-0000,0.010229
Davis,770-0000,0.010646
Davis,771-0000,0.010705
Davis,803-0000,0.010102
Davis,813-0000,0.011159
Davis,870-0000,0.010646
Davis,913-0000,0.011159
Duchesne,001-0000,0.01126
Duchesne,002-0000,0.011402
Duchesne,003-0000,0.011811
Duchesne,004-0000,0.01226
Duchesne,005-0000,0.011929
Duchesne,006-0000,0.011269
Duchesne,007-0000,0.010985
Duchesne,009-0000,0.010985
Duchesne,010-0000,0.011175
Duchesne,014-0000,0.01226
Duchesne,014-0001,0.01226
Duchesne,015-0000,0.01226
Duchesne,016-0000,0.010529
Duchesne,017-0000,0.011811
Duchesne,018-0000,0.011534
Duchesne,019-0000,0.010865
Duchesne,020-0000,0.010529
Duchesne,021-0000,0.010529
Duchesne,022-0000,0.010757
Duchesne,023-0000,0.010719
Duchesne,024-0000,0.011073
Duchesne,026-0000,0.011409
Duchesne,095-0000,0.010529
Duchesne,116-0000,0.010757
Duchesne,120-0000,0.010757
Duchesne,122-0000,0.010757
Duchesne,124-0000,0.011301
Emery,001-0000,0.016672
Emery,002-0000,0.016283
Emery,003-0000,0.016864
Emery,004-0000,0.016766
Emery,005-0000,0.0167
Emery,006-0000,0.016049
Emery,006-0001,0.016049
